Week_Start_Date,Party,Spend_USD
2022-06-05,Republican,128700
2022-06-12,Republican,114300
2022-06-12,Other,3630700
2022-06-12,Democratic,101400
2022-06-19,Democratic,196600
2022-06-19,Other,4142900
2022-06-19,Republican,143800
2022-06-26,Democratic,192100
2022-06-26,Other,4035300
2022-06-26,Republican,124800
2022-07-03,Republican,34800
2022-07-03,Other,4253000
2022-07-03,Democratic,105000
2022-07-10,Democratic,83200
2022-07-10,Other,4696300
2022-07-10,Republican,37500
2022-07-17,Democratic,112600
2022-07-17,Other,5413800
2022-07-17,Republican,78800
2022-07-24,Republican,129400
2022-07-24,Other,5952300
2022-07-24,Democratic,127400
2022-07-31,Democratic,184800
2022-07-31,Other,5382100
2022-07-31,Republican,164400
2022-08-07,Democratic,280700
2022-08-07,Other,5330600
2022-08-07,Republican,463100
2022-08-14,Republican,470800
2022-08-14,Other,6555500
2022-08-14,Democratic,362500
2022-08-21,Democratic,430200
2022-08-21,Other,7954200
2022-08-21,Republican,545700
2022-08-28,Democratic,447300
2022-08-28,Other,8195000
2022-08-28,Republican,672200
2022-09-04,Republican,466900
2022-09-04,Other,9979500
2022-09-04,Democratic,606200
2022-09-11,Democratic,813300
2022-09-11,Other,11024000
2022-09-11,Republican,485900
2022-09-18,Democratic,1009300
2022-09-18,Other,12472200
2022-09-18,Republican,663000
2022-09-25,Republican,644600
2022-09-25,Other,14212400
2022-09-25,Democratic,1336900
2022-10-02,Democratic,1657000
2022-10-02,Other,16308300
2022-10-02,Republican,780800
2022-10-09,Democratic,1871000
2022-10-09,Other,18878100
2022-10-09,Republican,974500
2022-10-16,Republican,1419300
2022-10-16,Other,22646400
2022-10-16,Democratic,1780600
2022-10-23,Democratic,2521500
2022-10-23,Other,28754200
2022-10-23,Republican,2068200
2022-10-30,Democratic,3161400
2022-10-30,Other,39574900
2022-10-30,Republican,2735900
2022-11-06,Republican,1285900
2022-11-06,Other,23143900
2022-11-06,Democratic,1731100
2022-11-13,Democratic,68600
2022-11-13,Other,2675600
2022-11-13,Republican,49500
2022-11-20,Democratic,34200
2022-11-20,Other,2841800
2022-11-20,Republican,45300
2022-11-27,Republican,48500
2022-11-27,Other,3882600
2022-11-27,Democratic,113600
2022-12-04,Democratic,39700
2022-12-04,Other,1871400
2022-12-04,Republican,22300
2022-12-11,Democratic,4900
2022-12-11,Other,457300
2022-12-11,Republican,3300
2022-12-18,Republican,3300
2022-12-18,Other,517700
2022-12-18,Democratic,4400
2022-12-25,Democratic,7500
2022-12-25,Other,358400
2022-12-25,Republican,3700
2023-01-01,Democratic,6100
2023-01-01,Other,353200
2023-01-01,Republican,4400
2023-01-08,Republican,2900
2023-01-08,Other,358100
2023-01-08,Democratic,5800
2023-01-15,Democratic,8400
2023-01-15,Other,337800
2023-01-15,Republican,1000
2023-01-22,Democratic,9000
2023-01-22,Other,417500
2023-01-22,Republican,800
2023-01-29,Other,401800
2023-01-29,Republican,1400
2023-01-29,Democratic,15900
2023-02-05,Democratic,19000
2023-02-05,Other,405000
2023-02-05,Republican,2500
2023-02-12,Democratic,14400
2023-02-12,Other,712300
2023-02-12,Republican,2500
2023-02-19,Republican,2500
2023-02-19,Other,718500
2023-02-19,Democratic,11200
2023-02-26,Democratic,11200
2023-02-26,Other,750100
2023-02-26,Republican,2900
2023-03-05,Democratic,10000
2023-03-05,Other,783000
2023-03-05,Republican,4700
2023-03-12,Republican,11200
2023-03-12,Other,1164900
2023-03-12,Democratic,11100
2023-03-19,Democratic,15000
2023-03-19,Other,1469400
2023-03-19,Republican,18000
2023-03-26,Democratic,26900
2023-03-26,Other,1573400
2023-03-26,Republican,53300
2023-04-02,Republican,143200
2023-04-02,Other,1092000
2023-04-02,Democratic,30400
2023-04-09,Democratic,23800
2023-04-09,Other,812600
2023-04-09,Republican,22500
2023-04-16,Democratic,24200
2023-04-16,Other,812900
2023-04-16,Republican,18800
2023-04-23,Republican,26800
2023-04-23,Other,874300
2023-04-23,Democratic,234000
2023-04-30,Democratic,314300
2023-04-30,Other,942100
2023-04-30,Republican,26000
2023-05-07,Democratic,212600
2023-05-07,Other,1145200
2023-05-07,Republican,37900
2023-05-14,Republican,21200
2023-05-14,Other,780500
2023-05-14,Democratic,172900
2023-05-21,Democratic,65000
2023-05-21,Other,1128500
2023-05-21,Republican,12800
2023-05-28,Democratic,39500
2023-05-28,Other,993400
2023-05-28,Republican,12500
2023-06-04,Republican,71700
2023-06-04,Other,875300
2023-06-04,Democratic,59300
2023-06-11,Democratic,61200
2023-06-11,Other,1049400
2023-06-11,Republican,108300
2023-06-18,Democratic,64200
2023-06-18,Other,1185500
2023-06-18,Republican,35500
2023-06-25,Republican,34400
2023-06-25,Other,1265600
2023-06-25,Democratic,142600
2023-07-02,Democratic,104600
2023-07-02,Other,866900
2023-07-02,Republican,27900
2023-07-09,Democratic,106300
2023-07-09,Other,1134200
2023-07-09,Republican,60000
2023-07-16,Republican,68200
2023-07-16,Other,1186900
2023-07-16,Democratic,144400
2023-07-23,Democratic,112200
2023-07-23,Other,1193500
2023-07-23,Republican,69400
2023-07-30,Democratic,134900
2023-07-30,Other,1312300
2023-07-30,Republican,179100
2023-08-06,Republican,89500
2023-08-06,Other,1361000
2023-08-06,Democratic,188500
2023-08-13,Democratic,132200
2023-08-13,Other,1413300
2023-08-13,Republican,94500
2023-08-20,Democratic,219600
2023-08-20,Other,1473200
2023-08-20,Republican,274400
2023-08-27,Republican,207500
2023-08-27,Other,1220100
2023-08-27,Democratic,226100
2023-09-03,Democratic,218200
2023-09-03,Other,1391900
2023-09-03,Republican,94000
2023-09-10,Democratic,236000
2023-09-10,Other,1763700
2023-09-10,Republican,84200
2023-09-17,Republican,68200
2023-09-17,Other,2043000
2023-09-17,Democratic,271900
2023-09-24,Democratic,295900
2023-09-24,Other,2323300
2023-09-24,Republican,95500
2023-10-01,Democratic,312500
2023-10-01,Other,2026100
2023-10-01,Republican,95600
2023-10-08,Republican,81200
2023-10-08,Other,2590200
2023-10-08,Democratic,314800
2023-10-15,Democratic,319600
2023-10-15,Other,2853800
2023-10-15,Republican,66600
2023-10-22,Democratic,341600
2023-10-22,Other,3030100
2023-10-22,Republican,65200
2023-10-29,Republican,81400
2023-10-29,Other,3803500
2023-10-29,Democratic,410100
2023-11-05,Democratic,356900
2023-11-05,Other,2863400
2023-11-05,Republican,63200
2023-11-12,Democratic,225000
2023-11-12,Other,1361300
2023-11-12,Republican,35700
2023-11-19,Republican,27800
2023-11-19,Other,1182800
2023-11-19,Democratic,187600
2023-11-26,Democratic,215200
2023-11-26,Other,1319200
2023-11-26,Republican,36500
2023-12-03,Democratic,201600
2023-12-03,Other,1700900
2023-12-03,Republican,41800
2023-12-10,Republican,47300
2023-12-10,Other,1688500
2023-12-10,Democratic,188200
2023-12-17,Democratic,217700
2023-12-17,Other,1380200
2023-12-17,Republican,63500
2023-12-24,Democratic,232200
2023-12-24,Other,1276400
2023-12-24,Republican,35200
2023-12-31,Other,1572300
